power,frequency,xhop,yhop,amp,BER
5.0,20,3, 0,0.775411455923,0.48921486572
5.0,20,-1, 3,0.3438698108,0.842629125052
5.0,20,0, -2,1.17892834186,0.258108289484
5.0,20,-2, -3,0.208700192248,0.937203905922
5.0,20,-2, -1,1.50631872057,0.142930793075
5.0,20,1, -3,0.274393910103,0.896955908965
5.0,20,0, -4,0.114027641808,0.975346393102
5.0,20,1, 3,0.351276941258,0.838033564191
5.0,20,1, 1,4.59796503946,5.8239650737e-05
5.0,20,-3, -2,0.384105603933,0.809585140717
5.0,20,4, -2,0.195317106582,0.942733560774
5.0,20,3, 2,0.320000387168,0.860641899604
5.0,20,-1, 1,4.55878991453,6.78798838716e-05
5.0,20,2, 3,0.235656964409,0.923036074787
5.0,20,4, -3,0.0991730365873,0.977865699907
5.0,20,0, 1,7.67921230983,0
5.0,20,4, 2,0.193232467411,0.945958916289
5.0,20,-3, -1,0.625382563047,0.603836849907
5.0,20,-3, 1,0.629387983064,0.59985491206
5.0,20,4, 0,0.373198048901,0.819203721011
5.0,20,-1, -2,0.948419464053,0.378304591425
5.0,20,-1, -4,0.109446381377,0.974937909069
5.0,20,3, 3,0.145816728656,0.964702922246
5.0,20,4, -4,0.0605287453588,0.983272610657
5.0,20,2, -2,0.607049505522,0.616446048174
5.0,20,2, 1,1.54534370015,0.132372520084
5.0,20,-2, 0,2.60580622585,0.0133212771602
5.0,20,0, 3,0.395091059153,0.800195664621
5.0,20,2, 2,0.619329108956,0.609010935941
5.0,20,-2, 2,0.604265260826,0.619260213668
5.0,20,-3, 3,0.208643791865,0.937483951947
5.0,20,0, -1,7.68442464263,0
5.0,20,3, -2,0.310299732476,0.870105034322
5.0,20,-1, 2,0.947325002789,0.377929552587
5.0,20,3, 1,0.622071353105,0.607112483289
5.0,20,0, -3,0.296581593591,0.880484899166
5.0,20,-1, -1,4.58151607126,6.20052615622e-05
5.0,20,-2, -2,0.617713645788,0.608620370214
5.0,20,1, 2,0.940979262684,0.381678263994
5.0,20,1, -2,0.9351947991,0.385201064223
5.0,20,-3, -3,0.156038955283,0.961705063765
5.0,20,1, -4,0.102028275394,0.977633910906
5.0,20,2, 0,2.62217381607,0.0127974571183
5.0,20,-2, -4,0.0964358613959,0.978178147379
5.0,20,-1, 0,11.101085788,0
5.0,20,3, -4,0.0685122012452,0.982105172531
5.0,20,2, -4,0.0766403294356,0.98078210054
5.0,20,-3, 2,0.426668183973,0.772953021831
5.0,20,-3, -4,0.089171765958,0.979903408121
5.0,20,0, 0,31.7940246184,0
5.0,20,4, 1,0.330892717785,0.851562208725
5.0,20,-3, 0,0.772012542301,0.493039211222
5.0,20,-1, -3,0.29333927897,0.883841013515
5.0,20,1, 0,11.0057105335,0
